start_station,end_station,count,start_lat,start_lon,end_lat,end_lon
2nd at Townsend,Cyril Magnin St at Ellis St,1,37.780526,-122.390288,37.785908,-122.408891
South Van Ness at Market,Powell at Post (Union Square),56,37.774814,-122.418954,37.788446,-122.408499
Golden Gate at Polk,Powell at Post (Union Square),37,37.781332,-122.418603,37.788446,-122.408499
San Francisco City Hall,Powell at Post (Union Square),53,37.77865,-122.418235,37.788446,-122.408499
Market at 10th,Powell at Post (Union Square),96,37.776619,-122.417385,37.788446,-122.408499
Civic Center BART (7th at Market),Powell at Post (Union Square),69,37.781039,-122.411748,37.788446,-122.408499
Cyril Magnin St at Ellis St,Powell at Post (Union Square),2,37.785908,-122.408891,37.788446,-122.408499
Powell at Post (Union Square),Powell at Post (Union Square),203,37.788446,-122.408499,37.788446,-122.408499
Powell Street BART,Powell at Post (Union Square),67,37.783871,-122.408433,37.788446,-122.408499
Grant Avenue at Columbus Avenue,Powell at Post (Union Square),177,37.7979,-122.405942,37.788446,-122.408499
5th at Howard,Powell at Post (Union Square),40,37.781752,-122.405127,37.788446,-122.408499
Market at 4th,Powell at Post (Union Square),47,37.786305,-122.404966,37.788446,-122.408499
Washington at Kearny,Powell at Post (Union Square),53,37.795425,-122.404767,37.788446,-122.408499
Post at Kearny,Powell at Post (Union Square),56,37.788975,-122.403452,37.788446,-122.408499
Embarcadero at Sansome,Powell at Post (Union Square),184,37.80477,-122.403234,37.788446,-122.408499
Commercial at Montgomery,Powell at Post (Union Square),122,37.794231,-122.402923,37.788446,-122.408499
Townsend at 7th,Powell at Post (Union Square),49,37.771058,-122.402717,37.788446,-122.408499
Yerba Buena Center of the Arts (3rd @ Howard),Powell at Post (Union Square),52,37.784878,-122.401014,37.788446,-122.408499
Broadway St at Battery St,Powell at Post (Union Square),68,37.798541,-122.400862,37.788446,-122.408499
Market at Sansome,Powell at Post (Union Square),72,37.789625,-122.400811,37.788446,-122.408499
Clay at Battery,Powell at Post (Union Square),47,37.795001,-122.39997,37.788446,-122.408499
Mechanics Plaza (Market at Battery),Powell at Post (Union Square),285,37.7913,-122.399051,37.788446,-122.408499
Embarcadero at Vallejo,Powell at Post (Union Square),44,37.799953,-122.398525,37.788446,-122.408499
Davis at Jackson,Powell at Post (Union Square),75,37.79728,-122.398436,37.788446,-122.408499
Howard at 2nd,Powell at Post (Union Square),93,37.786978,-122.398108,37.788446,-122.408499
Beale at Market,Powell at Post (Union Square),116,37.792251,-122.397086,37.788446,-122.408499
2nd at Folsom,Powell at Post (Union Square),73,37.785299,-122.396236,37.788446,-122.408499
San Francisco Caltrain 2 (330 Townsend),Powell at Post (Union Square),101,37.7766,-122.39547,37.788446,-122.408499
San Francisco Caltrain (Townsend at 4th),Powell at Post (Union Square),157,37.776617,-122.39526,37.788446,-122.408499
Temporary Transbay Terminal (Howard at Beale),Powell at Post (Union Square),83,37.789756,-122.394643,37.788446,-122.408499
Steuart at Market,Powell at Post (Union Square),112,37.794139,-122.394434,37.788446,-122.408499
Harry Bridges Plaza (Ferry Building),Powell at Post (Union Square),138,37.795392,-122.394203,37.788446,-122.408499
2nd at South Park,Powell at Post (Union Square),146,37.782259,-122.392738,37.788446,-122.408499
Embarcadero at Folsom,Powell at Post (Union Square),26,37.791464,-122.391034,37.788446,-122.408499
Spear at Folsom,Powell at Post (Union Square),60,37.790302,-122.390637,37.788446,-122.408499
2nd at Townsend,Powell at Post (Union Square),104,37.780526,-122.390288,37.788446,-122.408499
Embarcadero at Bryant,Powell at Post (Union Square),36,37.787152,-122.388013,37.788446,-122.408499
South Van Ness at Market,Powell Street BART,271,37.774814,-122.418954,37.783871,-122.408433
Golden Gate at Polk,Powell Street BART,123,37.781332,-122.418603,37.783871,-122.408433
San Francisco City Hall,Powell Street BART,99,37.77865,-122.418235,37.783871,-122.408433
Market at 10th,Powell Street BART,476,37.776619,-122.417385,37.783871,-122.408433
Civic Center BART (7th at Market),Powell Street BART,156,37.781039,-122.411748,37.783871,-122.408433
Cyril Magnin St at Ellis St,Powell Street BART,1,37.785908,-122.408891,37.783871,-122.408433
Powell at Post (Union Square),Powell Street BART,111,37.788446,-122.408499,37.783871,-122.408433
Powell Street BART,Powell Street BART,197,37.783871,-122.408433,37.783871,-122.408433
Grant Avenue at Columbus Avenue,Powell Street BART,174,37.7979,-122.405942,37.783871,-122.408433
5th at Howard,Powell Street BART,212,37.781752,-122.405127,37.783871,-122.408433
Market at 4th,Powell Street BART,89,37.786305,-122.404966,37.783871,-122.408433
Washington at Kearny,Powell Street BART,182,37.795425,-122.404767,37.783871,-122.408433
Post at Kearny,Powell Street BART,86,37.788975,-122.403452,37.783871,-122.408433
Embarcadero at Sansome,Powell Street BART,327,37.80477,-122.403234,37.783871,-122.408433
5th St at Folsom St,Powell Street BART,14,37.780148,-122.403158,37.783871,-122.408433
Commercial at Montgomery,Powell Street BART,189,37.794231,-122.402923,37.783871,-122.408433
Townsend at 7th,Powell Street BART,189,37.771058,-122.402717,37.783871,-122.408433
Yerba Buena Center of the Arts (3rd @ Howard),Powell Street BART,132,37.784878,-122.401014,37.783871,-122.408433
Broadway St at Battery St,Powell Street BART,54,37.798541,-122.400862,37.783871,-122.408433
Market at Sansome,Powell Street BART,168,37.789625,-122.400811,37.783871,-122.408433
Clay at Battery,Powell Street BART,136,37.795001,-122.39997,37.783871,-122.408433
Mechanics Plaza (Market at Battery),Powell Street BART,199,37.7913,-122.399051,37.783871,-122.408433
Embarcadero at Vallejo,Powell Street BART,49,37.799953,-122.398525,37.783871,-122.408433
Davis at Jackson,Powell Street BART,46,37.79728,-122.398436,37.783871,-122.408433
Howard at 2nd,Powell Street BART,89,37.786978,-122.398108,37.783871,-122.408433
Beale at Market,Powell Street BART,129,37.792251,-122.397086,37.783871,-122.408433
2nd at Folsom,Powell Street BART,181,37.785299,-122.396236,37.783871,-122.408433
San Francisco Caltrain 2 (330 Townsend),Powell Street BART,1054,37.7766,-122.39547,37.783871,-122.408433
San Francisco Caltrain (Townsend at 4th),Powell Street BART,772,37.776617,-122.39526,37.783871,-122.408433
Temporary Transbay Terminal (Howard at Beale),Powell Street BART,144,37.789756,-122.394643,37.783871,-122.408433
Steuart at Market,Powell Street BART,131,37.794139,-122.394434,37.783871,-122.408433
Harry Bridges Plaza (Ferry Building),Powell Street BART,281,37.795392,-122.394203,37.783871,-122.408433
2nd at South Park,Powell Street BART,179,37.782259,-122.392738,37.783871,-122.408433
Embarcadero at Folsom,Powell Street BART,25,37.791464,-122.391034,37.783871,-122.408433
Spear at Folsom,Powell Street BART,45,37.790302,-122.390637,37.783871,-122.408433
2nd at Townsend,Powell Street BART,99,37.780526,-122.390288,37.783871,-122.408433
Embarcadero at Bryant,Powell Street BART,39,37.787152,-122.388013,37.783871,-122.408433
South Van Ness at Market,Grant Avenue at Columbus Avenue,25,37.774814,-122.418954,37.7979,-122.405942
Golden Gate at Polk,Grant Avenue at Columbus Avenue,15,37.781332,-122.418603,37.7979,-122.405942
San Francisco City Hall,Grant Avenue at Columbus Avenue,31,37.77865,-122.418235,37.7979,-122.405942
Market at 10th,Grant Avenue at Columbus Avenue,51,37.776619,-122.417385,37.7979,-122.405942
Civic Center BART (7th at Market),Grant Avenue at Columbus Avenue,113,37.781039,-122.411748,37.7979,-122.405942
Powell at Post (Union Square),Grant Avenue at Columbus Avenue,140,37.788446,-122.408499,37.7979,-122.405942
Powell Street BART,Grant Avenue at Columbus Avenue,89,37.783871,-122.408433,37.7979,-122.405942
Grant Avenue at Columbus Avenue,Grant Avenue at Columbus Avenue,146,37.7979,-122.405942,37.7979,-122.405942
5th at Howard,Grant Avenue at Columbus Avenue,44,37.781752,-122.405127,37.7979,-122.405942
Market at 4th,Grant Avenue at Columbus Avenue,140,37.786305,-122.404966,37.7979,-122.405942
Washington at Kearny,Grant Avenue at Columbus Avenue,52,37.795425,-122.404767,37.7979,-122.405942
Post at Kearny,Grant Avenue at Columbus Avenue,122,37.788975,-122.403452,37.7979,-122.405942
Embarcadero at Sansome,Grant Avenue at Columbus Avenue,201,37.80477,-122.403234,37.7979,-122.405942
5th St at Folsom St,Grant Avenue at Columbus Avenue,2,37.780148,-122.403158,37.7979,-122.405942
Commercial at Montgomery,Grant Avenue at Columbus Avenue,42,37.794231,-122.402923,37.7979,-122.405942
